"State","County","Metro/Small Town/Rural Status","Percent with SNAP","Percent Margin of Error (±)"
"Alaska","Kusilvak Census Area","Rural area","0.566897332668304","0.00666071334853768"
"South Dakota","Oglala Lakota County","Rural area","0.547066867351532","0.0431372560560703"
"South Dakota","Buffalo County","Rural area","0.453629046678543","0.0604340396821499"
"Kentucky","Owsley County","Rural area","0.452706724405289","0.073868103325367"
"Texas","Starr County","Small town","0.435908496379852","0.0255850441753864"
"South Dakota","Todd County","Rural area","0.415877640247345","0.03956613317132"
"Texas","Brooks County","Rural area","0.403741985559464","0.0804698541760445"
"Texas","Zavala County","Rural area","0.403518408536911","0.0566935762763023"
"Kentucky","Wolfe County","Rural area","0.400482922792435","0.061661783605814"
"Tennessee","Lake County","Rural area","0.398135185241699","0.0576915629208088"
"Alabama","Greene County","Rural area","0.398133248090744","0.0463269725441933"
"Kentucky","Clay County","Rural area","0.388982951641083","0.0339498706161976"
"Alaska","Bethel Census Area","Rural area","0.388583987951279","0.0216966476291418"
"Mississippi","Coahoma County","Small town","0.388375163078308","0.028883658349514"
"Kentucky","Lee County","Rural area","0.383906424045563","0.0476170405745506"
"Mississippi","Quitman County","Rural area","0.38004595041275","0.0405737347900867"
"Tennessee","Hancock County","Rural area","0.375136315822601","0.0484020635485649"
"Arkansas","Lee County","Rural area","0.37164643406868","0.0398487560451031"
"Georgia","Clay County","Rural area","0.36896550655365","0.0506157130002975"
"New York","Bronx County","Metro area","0.366407871246338","0.00435692025348544"
"Kentucky","Breathitt County","Rural area","0.361048251390457","0.0337520502507687"
"Virginia","Emporia city","Rural area","0.358371049165726","0.0515986569225788"
"Kentucky","Magoffin County","Rural area","0.358265370130539","0.0446043349802494"
"Kentucky","Bell County","Small town","0.356895595788956","0.03355373442173"
"South Dakota","Ziebach County","Rural area","0.353535354137421","0.0333229750394821"
"Mississippi","Humphreys County","Rural area","0.351536959409714","0.0375238284468651"
"Kentucky","Knox County","Small town","0.350522994995117","0.0288770869374275"
"Alabama","Perry County","Rural area","0.350218892097473","0.0686042308807373"
"Mississippi","Sunflower County","Small town","0.344069600105286","0.0229588970541954"
"Alaska","Northwest Arctic Borough","Rural area","0.34348738193512","0.023097325116396"
"Tennessee","Scott County","Rural area","0.340583175420761","0.0328086279332638"
"Kentucky","Knott County","Rural area","0.340534299612045","0.0349667817354202"
"Missouri","Mississippi County","Rural area","0.335219502449036","0.0321460403501987"
"Arkansas","Phillips County","Small town","0.335219413042068","0.0325568690896034"
"Kentucky","McCreary County","Rural area","0.333013445138931","0.0472036860883236"
"Mississippi","Sharkey County","Rural area","0.332594245672226","0.0567803308367729"
